"","ad1","ad2","ad3","egg1","egg2","juv1","juv2","met1","met2","met3","nej_1h1","nej_1h23","nej_24h1","nej_24h2","nej_3h1","nej_3h2"
"rnd-1_family-487#Unknown",661.10018154064,479.867180270192,1108.3456156024,438.786554722913,311.113595215258,428.793835806919,428.374196247049,421.215787934004,447.984859957704,384.956721781268,486.642314396383,315.982344044632,575.440970586442,384.727334242018,503.481378697874,589.984101107455
"rnd-1_family-488#LTR/Gypsy",1039.91488123307,393.688581763568,312.527685689258,515.028395828088,463.948668503953,200.258454238226,284.601301282218,621.522184790161,624.999454011851,677.296074460806,486.671858548955,661.116100624396,853.916648260141,780.502992001353,1017.85149902171,706.351421807194
"rnd-1_family-489#Unknown",409.06337323066,350.742154381181,413.81325848716,443.842847661015,474.526009804715,139.315695713199,141.957866147848,108.839792112048,77.7455563381245,134.75398116741,23.9439395879098,135.450969949655,36.9753828025045,42.8753490121923,172.219431627073,102.087216272962
"rnd-1_family-49#Unknown",3017.95944401234,6334.86362719085,32790.8553018089,3242.39045507053,2878.80900467198,4347.33483826544,2082.2994488569,3510.99175994795,3130.42013823179,3831.55192280542,3271.98264407664,3141.27918839552,2973.1075615607,2579.49604291067,2523.28310941188,3091.37014266881
"rnd-1_family-490#DNA/CMC-EnSpm",524.86461887898,494.165634766289,483.090224863677,319.74379399517,244.840614996649,516.299811715616,384.2386848454,1487.91737462973,1568.90908527626,1639.74650777961,1581.30252778315,1926.98936077826,1965.57398051966,2013.07216057814,744.341126698662,1188.571532234
"rnd-1_family-491#Unknown",133.303196104796,199.338147478223,105.109925602386,169.717726344396,208.149378362305,42.7851571336931,102.858774050764,116.863227088326,127.736653456821,81.2394542622328,225.685927905453,50.5623915058658,167.046122181114,280.815038798613,207.863558428282,73.0282491279562
"rnd-1_family-492#DNA/TcMar-Tc2",2.55759703680363,33.3050708547133,50.6577323913688,143.261793164756,505.496775424497,6.35457701962385,23.4338008810947,5.16050153867442,0,0,0,0,2.20701778517682,2.21159116870908,5.12039152845366,1.91958108372744
"rnd-1_family-493#LTR/Pao",286.752945978746,185.271012397759,64.6690296066605,364.933558794784,349.109046386241,356.495985711915,154.001137694492,277.956422649456,234.767600297194,196.104096900138,321.160770635795,244.421360155081,241.444469342842,239.52861328076,204.238685801786,107.245348398308
"rnd-1_family-494#LINE/Rex-Babar",0,5.19327973226625,0,6.32457998915175,9.312605929236,1.50547278624961,4.30834926086901,16.2534575723137,9.52237010114148,18.8245602325992,23.2188421537633,13.0239987457703,4.20982515965456,4.19358284875551,4.94925817712905,1.97656903590685
"rnd-1_family-495#LINE/CR1",0,25.1831510104225,107.046789814446,65.0987768429816,182.78013566967,98.6861530639572,39.8479593194404,279.463788519259,258.330732669222,316.881128217187,120.770880463077,208.233403797143,202.471299648328,65.562668244372,182.919579708376,137.432738939894
"rnd-1_family-496#LINE/CR1",24.966765469185,176.283391257908,232.315996913511,69.3520986371691,30.3974886724559,61.9713282298937,66.0110439359349,9.59386189124612,5.5628626251674,9.12185341112608,10.661212788395,7.438891084216,8.11251310572907,7.9011312424224,6.2400804612248,4.06316471601582
"rnd-1_family-497#Unknown",1372.10715119216,2676.49922474498,3879.9295455498,39875.8934022452,42436.2846613138,566.025777197169,1644.74980600875,1581.93923820867,2297.89644913861,1273.87997653141,3081.60866026163,1781.19425311029,2401.97299741718,2313.48867720093,3195.89479706401,1259.90192082814
"rnd-1_family-498#Unknown",45.9351357472832,177.67851415954,143.339871825307,63.0009056200192,115.39755269824,77.107433762108,77.0436070868492,111.257254599117,53.0937110044552,18.6705341283829,23.3983955486991,22.2748220873994,0,97.1179097177833,26.0183875304871,35.6783693771371
"rnd-1_family-499#LTR/Pao",373.235206786596,414.981537863632,457.983794609639,186.027160612605,289.126830994829,366.961005393169,331.629843468819,78.4445047039237,71.4130933616829,67.6664294724248,106.683947971065,75.0643649270384,99.1469047712821,100.254286119487,149.262805577848,147.477555341686
"rnd-1_family-5#Unknown",1092.93983094176,1194.17244169218,2820.4495891913,2658.21707183564,2639.32870758379,214.575294622798,77.8642781179124,286.996148363689,536.697822952532,277.657476087132,435.414069578793,425.536918367345,335.385125461274,293.041113943786,511.676739539576,333.784687037313
"rnd-1_family-50#Unknown",398.959029319771,257.748116970536,357.427706063783,313.370710486,352.550162297474,256.116132968612,216.070303759599,397.20852807454,557.918111417885,305.702062412063,331.560009789246,346.621852162463,385.402960433269,411.376696713513,268.355639454193,293.149972693347
"rnd-1_family-500#Unknown",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rnd-1_family-501#Unknown",1.26215390279732,15.8959198293501,8.12451074869162,35.5504756079997,71.7861713475058,6.46206917794343,13.5854536915683,7.7240244589947,0,2.43859797905393,6.16128039436725,1.9709767002316,2.21474252479781,5.53422728570718,1.39794256220374,5.78929208775542
"rnd-1_family-502#DNA/MULE-MuDR",293.375347672074,54.4798542313554,95.4117715748965,77.6920900668379,104.967186843998,104.362791459196,88.723687781606,689.484579817611,1065.68151954002,924.739735105961,831.711323230587,1001.60070643094,494.107243713172,473.358158210602,608.771990785335,395.786966384008
"rnd-1_family-503#Unknown",295.030378372049,136.568051453907,197.847678072903,196.299655612282,90.6494805033217,518.763971863644,298.380030399351,281.475586872733,250.38716037426,286.846948511812,239.709173361916,307.457714558478,282.526053698021,233.640044108999,180.750275240734,276.656393864121
